Stato,AbbStato,Capitale,Somma di Popolazione (1-4-2020)
Alabama,AL,Montgomery,5024279
Alaska,AK,Juneau,733391
Arizona,AZ,Phoenix,7151502
Arkansas,AR,Little Rock,6023048
California,CA,Sacramento,39538223
Carolina del Nord,,,10439388
Carolina del Sud,,,5118425
Colorado,CO,Denver,5773714
Connecticut,CT,Hartford,3605944
Dakota del Nord,,,779094
Dakota del Sud,,,886667
Delaware,DE,Dover,989948
Distretto di Columbia,,,689545
Florida,FL,Tallahassee,21538187
Georgia,GA,Atlanta,10711908
Guam,GU,,168485
Hawaii,HI,Honolulu,1455271
Idaho,ID,Boise,1839106
Illinois,IL,Springfield,12812508
Indiana,IN,Indianapolis,6785528
Iowa,IA,Des Moines,3190369
Isole Marianne Settentrionali,,,49437
Isole Vergini Americane,,,106235
Kansas,KS,Topeka,5875760
Kentucky,KY,Frankfort,4505836
Louisiana,LA,Baton Rouge,4657757
Maine,ME,Augusta,1362359
Maryland,MD,Annapolis,6177224
Massachusetts,MA,Boston,7029917
Michigan,MI,Lansing,10077331
Minnesota,MN,Saint Paul,5706494
Mississippi,MS,Jackson,2961279
Missouri,MO,Jefferson City,6154913
Montana,MT,Helena,1084225
Nebraska,NE,Lincoln,1961504
Nevada,NV,Carson City,3104614
New Hampshire,NH,Concord,1377529
New Jersey,NJ,,9288994
New York,NY,Albany,20201249
Nuovo Messico,,,2117522
Ohio,OH,Columbus,11799448
Oklahoma,OK,Oklahoma City,3959353
Oregon,OR,Salem,4237256
Pennsylvania,PA,Harrisburg,13002700
Porto Rico,,,3285874
Rhode Island,RI,Providence,1097379
Samoa Americane,,,51433
Tennessee,TN,Nashville,6910840
Texas,TX,Austin,29145505
Utah,UT,Salt Lake City,3271616
Vermont,VT,Montpelier,643077
Virginia,VA,Richmond,8631393
Virginia Occidentale,,,1793716
Washington,WA,Olympia,7705281
Wisconsin,WI,Madison,5893718
Wyoming,WY,Cheyenne,576851
